id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
67335207,Angerilli (1999) 1_1,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome, Developmental Spelling Tes (DST),['Reading primary outcome'],Secondary outcome(s),SORT- High frequency word recognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577987,Angerilli (1999) 1_2,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Developmental Spelling Test Scores,['Reading primary outcome'],Secondary outcome(s),SORT- High frequency word recognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67335209,Aram (2004) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Phonological Awareness,['Other outcome'],Secondary outcome(s),Listening comprehension,['Writing and spelling primary outcome.'],Secondary outcome(s),Word writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577988,Aram (2004) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Phonological Awareness,['Other outcome'],Secondary outcome(s),Listening comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67335211,Ball (1991) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Measures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577990,Ball (1991) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Measures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68127032,Beach (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Initial sounds fluency (ISF) ,['Other outcome'],Secondary outcome(s),Letter naming fluency (LNF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67335213,Beech (1994) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Letter-Sound Test,NA,Secondary outcome(s),Sound-Letter Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577992,Beech (1994) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Letter-Sound Test,NA,Secondary outcome(s),Sound-Letter Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67335195,Bierman (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary - Expressive One-Word Picture Vocabulary Test,['Other outcome'],Primary outcome,Grammatical Understanding (TOLD),['Other outcome'],Secondary outcome(s),Blending (TOPEL subtest),['Other outcome'],Secondary outcome(s),Print Awareness (TOPEL subtest) ,['Other outcome'],Secondary outcome(s),Sentence imitation,['Other outcome'],Secondary outcome(s),Elision (TOPEL subtest) ,['Other outcome'],Secondary outcome(s),CST aggressive responses,['Other outcome'],Secondary outcome(s),CST competent responses,['Other outcome'],Secondary outcome(s),CST inept responses,['Other outcome'],Secondary outcome(s),Emotion identification,['Other outcome'],Secondary outcome(s),Emotion recognition
