id,out_type_1,out_type_2,out_type_3,out_type_4,out_type_5,out_type_6,out_type_7,out_type_8,out_type_9,out_type_10,out_type_11,out_type_12,out_type_13,out_type_14,out_type_15,out_type_16,out_type_17,out_type_18,out_type_19,out_type_20
38223874,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223995,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224058,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224179,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223996,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224180,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223997,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294916,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223998,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223999,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294917,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223879,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224059,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224000,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224152,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307312,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40398942,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224234,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224233,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294918,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224235,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223882,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224064,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224237,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224181,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],NA,['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224007,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224002,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224006,['Mathematics primary outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224004,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224005,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294921,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336758,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224066,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224001,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224295,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294922,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224009,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224003,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224268,['Other outcome'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223955,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224154,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224155,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223884,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224010,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223956,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224067,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224011,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224068,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090170,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223887,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224156,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223957,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224298,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224182,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223892,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224117,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223895,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223959,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224184,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224070,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224013,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224014,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224015,"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294927,"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294928,"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224158,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294929,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223960,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224159,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224301,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224300,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296654,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Reading primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224017,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223961,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224185,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294934,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223962,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294935,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223963,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294936,"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],['Reading primary outcome'],['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224187,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223965,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223964,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223966,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224160,"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],['Reading primary outcome'],['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294940,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223967,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223968,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224018,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224020,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294943,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294944,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224019,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294945,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224021,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224022,"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294948,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224023,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224188,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296660,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294949,['Mathematics primary outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223908,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224189,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224245,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294952,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224165,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224074,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294953,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224191,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294956,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223970,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099541,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325706,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224024,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
