id,pub_author,pub_year,strand_raw,strand_info,sample_analysed_info,strand_CLEAN,sample_analysed_ht,part_gen_raw,sample_analysed_CLEAN,part_gen_ht,part_gen_info,fsm_prop_info,part_gen_CLEAN,fsm_prop_ht,fsm_perc_info,fsm_prop_CLEAN,fsm_perc_ht,fsm_info_info,fsm_perc_CLEAN,fsm_info_ht,fsm_na_raw,fsm_info_CLEAN,fsm_na_info,base_n_treat_ht,fsm_na_CLEAN,base_n_treat_info,base_n_cont_ht,base_n_treat_CLEAN,base_n_cont_info,base_n_treat2_ht,base_n_cont_CLEAN,base_n_treat2_info,base_n_treat3_ht,base_n_treat2_CLEAN,base_n_treat3_info,n_treat_ht,base_n_treat3_CLEAN,n_treat_info,n_cont_ht,n_treat_CLEAN,n_cont_info,n_treat2_ht,n_cont_CLEAN,n_treat2_info,n_cont2_ht,n_treat2_CLEAN,n_cont2_info,attri_raw,n_cont2_CLEAN,attri_ht,attri_info,attri_treat_ht,attri_CLEAN,attri_treat_info,attri_perc_ht,attri_treat_CLEAN,attri_perc_info,attri_perc_CLEAN
67335193,Associates (2007),2007,NA,NA,254,,"['Page 56:\n[¬s]""n = 149""\n""n = 105[¬e]""']",['No information provided'],,NA,NA,NA,,NA,75 ,,"['Page 11:\n[¬s]""To be eligible, a center had to: serve primarily low-income children (75% or more eligible for free-and\nreduced-price meals in the CACFP), including some whose care was subsidized; and have at least one four-\nyear-old classroom with at least five children.[¬e]""']",NA,,NA,NA,,NA,"['Page 56:\n[¬s]""n = 149[¬e]""']",,149,"['Page 56:\n[¬s]""n = 105[¬e]""']",,105,NA,,NA,NA,,NA,NA,,149,NA,,105,NA,,NA,NA,,NA,['Unclear (please add notes)'],,"['Page 16:\n[¬s]""Over the course of two years, seven centers left the study. Five left because the\ncenter was closed or sold to an owner who chose not to participate; only two left because the director\ndecided not to continue with the curriculum to which they were assigned. While, in spite of the\nincentives offered, teachers did leave and were replaced, our concern was about the attrition of\ncenters, since they were the unit of random assignment. Center attrition, as we have seen, was very\nlow and distributed quite evenly across the four groups.[¬e]""']",Unclear if from control or intervention groups,NA,,0,NA,,0 ,
68127032,Beach (2004),2004,NA,NA,305,,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)""\n""93 in die treatment group (9% mortality or 8 students)[¬e]""']",['No information provided'],,NA,NA,NA,,NA,62,,"['Page 192:\n[¬s]""62% of participants were on free and reduced lunch[¬e]""']",NA,,NA,NA,,NA,NA,,93,NA,,252,NA,,NA,NA,,NA,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)[¬e]""']",,220,"['Page 191:\n[¬s]""93 in die treatment group (9% mortality or 8 students)[¬e]""']",,85,NA,,NA,NA,,NA,['Yes'],,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""']",NA,"['Page 191:\n[¬s]""93 in die treatment group (9% mortality or 8 students)[¬e]""']",,12.69,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""']",,11.59 ,
67335195,Bierman (2008),2008,NA,NA,356,,"['Page 1:\n[¬s]""three hundred and fifty-six\n4-year-old children[¬e]""']",['Mixed gender'],,"['Page 4:\n[¬s]""54% girls[¬e]""']",54,NA,,NA,NA,,NA,Head Start supports low-income families specifically,,"['Page 1:\n[¬s]""Forty-four Head Start classrooms""\n""Head Start has been referred to as the nation’s ‘‘pre-\nmier’’ federally sponsored early childhood education\nprogram developed to reduce socioeconomic dispar-\nities in school readiness[¬e]""']",NA,,NA,"['Page 4:\n[¬s]""N 5 356,[¬e]""']",,178,"['Page 4:\n[¬s]""N 5 356[¬e]""']",,178,NA,,NA,NA,,NA,"['Page 4:\n[¬s]""356[¬e]""']",,178,"['Page 4:\n[¬s]""356[¬e]""']",,178,NA,,NA,NA,,NA,['Yes'],,"['Page 5:\n[¬s]""Two children were dropped because they had a twin\nor sibling in the study, and 19 families withdrew early\nfrom Head Start and hence completed only parts of\nthe assessment procedures. Hence, study participants\nrepresent 86% of the initially eligible population.[¬e]""']",NA,NA,,0,"['Page 5:\n[¬s]""Hence, study participants\nrepresent 86% of the initially eligible population.[¬e]""']",,14 ,
67335214,Blachman (1994),1994,NA,NA,159,,"['Page 5:\n[¬s]""84 treatment children and 75 control children[¬e]""']",['Mixed gender'],,"['Page 6:\n[¬s]""37 girls""\n""37 girls""\n""a total sample of 159[¬e]""']",53,NA,,NA,86,,"['Page 13:\n[¬s]""(86% of the treatment children and 83% of the control children received free\nor supported lunch)[¬e]""']",NA,,"['Page 5:\n[¬s]""low-income, inner-city schools[¬e]""']",NA,,NA,"['Page 6:\n[¬s]""leaving a treatment sample of\n87[¬e]""']",,87,"['Page 6:\n[¬s]""78 eligible children at the two control schools[¬e]""']",,78,NA,,NA,NA,,NA,"['Page 6:\n[¬s]""84 treatment children[¬e]""']",,84,"['Page 6:\n[¬s]""75 control children[¬e]""']",,75,NA,,NA,NA,,NA,['Yes'],,"['Page 6:\n[¬s]""Between the kindergarten screening in January and the posttesting in\nMay, six of the 165 children moved (three treatment and three control\nchildren), leaving a total sample of 159.[¬e]""']",NA,"['Page 6:\n[¬s]""Between the kindergarten screening in January and the posttesting in\nMay, six of the 165 children moved (three treatment and three control\nchildren), leaving a total sample of 159. The 84 treatment children[¬e]""']",,3.44,"['Page 6:\n[¬s]""Between the kindergarten screening in January and the posttesting in May, six of the 165 children moved (three treatment and three control children), leaving a total sample of 159.""\n""84 treatment children""\n""75 control children[¬e]""']",,3.63 ,
68127036,Bortnem (2005),2005,NA,NA,59,,"['Page 45:\n[¬s]""59 three-, four-, and five-year old children[¬e]""']",['Mixed gender'],,NA,52.54,NA,,NA,NA,,NA,NA,,"['Page 45:\n[¬s]""The children participating in this study speak English as their first language.\nThe Head Start program serves children predominantly from low-income families.[¬e]""']",NA,,NA,NA,,29,NA,,24,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,0,NA,,NA,
67335215,Boyle (2006),2006,NA,NA,27,,"['Page 37:\n[¬s]""Twenty-\nseven children[¬e]""']",['Mixed gender'],,"['Page 38:\n[¬s]""Fifteen o f the children were\nfemale (55.6%)[¬e]""']",55.6,NA,,NA,NA,,NA,NA,,"['Page 36:\n[¬s]""Head Start is one\ntype o f early intervention designed to ameliorate or reduce risk o f poverty on future academic\nachievement with the program focus on child well-being and development, and a new\nemphasis on literacy skills and knowledge development.[¬e]""', 'Page 37:\n[¬s]""children enrolled in Head Start programs in Baltimore City and their\nparents/caregivers initially enrolled in the study[¬e]""']",NA,,NA,"['Page 39:\n[¬s]""6""\n""10[¬e]""']",,16,"['Page 39:\n[¬s]""6""\n""5[¬e]""']",,11,NA,,NA,NA,,NA,"['Page 39:\n[¬s]""6""\n""10[¬e]""']",,16,"['Page 39:\n[¬s]""6""\n""5[¬e]""']",,11,NA,,NA,NA,,NA,['Unclear (please add notes)'],,"['Page 37:\n[¬s]""Five more parents and their children dropped out prior to the posttesting.""\n""Results are reported for\nonly the 27 children completing the study.[¬e]""']",Provided with whole sample attrition but not by group (intervention/ control),NA,,0,"['Page 37:\n[¬s]""Five more parents and their children dropped out prior to the posttesting.""\n""Results are reported for\nonly the 27 children completing the study.[¬e]""']",,16.625,
68127039,Byrne (1967),1967,NA,NA,23,,"['Page 12:\n[¬s]""thirteen youngsters enroll-\ned in Headstart classrooms[¬e]""']",['Mixed gender'],,"['Page 4:\n[¬s]""he children in the experimental group included seven girls and six\nboys, ranging in age fram three years, three months to five years,""\n""In the\ncontrol group, there were seven girls and five boys, whose ages ranged\nfrom three years, seven months to five years, six months[¬e]""']",56.00,NA,,NA,NA,,NA,appears to be a deprived area but no percentage provided,,"['Page 5:\n[¬s]""discover the effects of cultural deprivation[¬e]""']",NA,,NA,NA,,13,NA,,10,NA,,NA,NA,,NA,NA,,13,NA,,10,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,0,NA,,0,
67335218,Castle (1994),1994,NA,NA,34,,"['Page 6:\n[¬s]""51 were selected to participate in the study.[¬e]""']",['Mixed gender'],,"['Page 6:\n[¬s]""The 24 boys and 27 girls were in their first few months\nof school and were attending five suburban primary schools,[¬e]""']",52.94,NA,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""were attending five suburban primary schools,\nsituated in middle- to low-socioeconomic areas of Auckland, New\nZealand.[¬e]""']",NA,,NA,NA,,17,NA,,17,NA,,NA,NA,,NA,NA,,17,NA,,17,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
67335197,Cosgrove (2006),2006,NA,NA,466,,"['Page 18:\n[¬s]""ELLM (n=222)""\n""-L Control (n=244)[¬e]""']",['Mixed gender'],,"['Page 19:\n[¬s]""Child-level variables\nincluded in the analyses were""\n""and gender.[¬e]""']",NA,NA,,NA,NA,,NA,NA,,NA,['No SES/FSM Information Provided'],,NA,"['Page 18:\n[¬s]""ELLM (n=222)[¬e]""']",,222,"['Page 18:\n[¬s]""W-L Control (n=244)[¬e]""']",,244,NA,,NA,NA,,NA,"['Page 18:\n[¬s]""ELLM (n=222)[¬e]""']",,222,"['Page 18:\n[¬s]""(n=244)[¬e]""']",,244,NA,,NA,NA,,NA,['Yes'],,"['Page 18:\n[¬s]""Attrition occurred at both the site and child levels. One wait-list control and one ELLM\nclassroom in the PMSA were withdrawn from the study[¬e]""']",NA,NA,,NA,"['Page 18:\n[¬s]""child-level attrition occurred, and 21% of the remaining children with\npretest scores were unavailable for posttesting.[¬e]""']",,21,
67335198,Davidson (2009),2009,NA,NA,254,,"['Page 2:\n[¬s]""254 students[¬e]""']",['Mixed gender'],,"['Page 8:\n[¬s]""Girls""\n""56""\n""59[¬e]""']",45.28,NA,,NA,83.46,,"['Page 8:\n[¬s]""Free/reduced lunch""\n""112""\n""100[¬e]""']",NA,,"['Page 2:\n[¬s]""high-poverty[¬e]""']",NA,,NA,"['Page 9:\n[¬s]""(129 experimental,[¬e]""']",,129,"['Page 9:\n[¬s]""125 control[¬e]""']",,125,NA,,NA,NA,,NA,"['Page 9:\n[¬s]""129 experimental[¬e]""']",,129,"['Page 9:\n[¬s]""125 control[¬e]""']",,125,NA,,NA,NA,,NA,['Yes'],,"['Page 9:\n[¬s]""Sample Attrition. Pretest scores were obtained for 274 students; complete pre-\nand posttest data were obtained for a total of 254 students (129 experimental,\n125 control). Student attrition (7% attrition rate overall) resulted from students\nmoving out of participating schools, and attrition rates were similar across\nexperimental and control groups (χ2 = .65, p> .05).[¬e]""']",NA,"['Page 9:\n[¬s]""Student attrition (7% attrition rate overall) resulted from students\nmoving out of participating schools, and attrition rates were similar across\nexperimental and control groups (χ2 = .65, p> .05).[¬e]""']",,7,"['Page 9:\n[¬s]""Student attrition (7% attrition rate overall""\n"") resulted from students\nmoving out of participating schools,[¬e]""']",,7,
