fsm_perc_info,fsm_perc_ht,fsm_info_info,fsm_info_ht,fsm_na
NA,NA,NA,NA,NA
NA,"['Page 4:\n[¬s]""and more than 70%[¬e]""', 'Page 5:\n[¬s]""of the students were on the free or reduced-price lunch program at their schools.[¬e]""']",NA,NA,NA
NA,"['Page 9:\n[¬s]""and most of the students (56.7%–78.4%) were\neligible for free or reduced-price lunch[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,the students attend a school which is predominantly for low income,"['Page 7:\n[¬s]""in a predominantly low\nincome New York City school district ([¬e]""']",NA
NA,NA,NA,NA,NA
NA,NA,NA,"['Page 3:\n[¬s]""Elementar.y students in the Mil ton A.Na Joint School Dis\xad t r i c t are from m.iddle and lowr middle cl.a.ss :t>ackgroun.dS.[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 137:\n[¬s]"" lower-middle to middle class[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 3:\n[¬s]"", 1981; Stevens, Mad\nSlavin, & Famish, 1987; Ziv, 19[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 2:\n[¬s]"" three city elementary schools serving predominantly middle-class populations. [¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
