int_leng_ht,int_leng_info
"['Page 25:\n[¬s]""35 minutes[¬e]""']",NA
"['Page 5:\n[¬s]""Fluency practice takes roughly 10–12 min once students have learned the routine.[¬e]""']",NA
"['Page 5:\n[¬s]""the teacher guides the student one-on-one for about 15 to 20 minutes through a\nthree-component lesson: Re-Reading for Fluency (2–5 minutes), Word Work (6–10\nminutes), and Guided Oral Reading (7–10 minutes).[¬e]""']",NA
"['Page 103:\n[¬s]""The entire study lasted approximately five hours over a one week period[¬e]""']","Assumed to be an hour.   Total study took 5 hours over the course of a week (5 school days) therefore each session took an hour (1 hour for pre-testing, 1 hour post-testing and 1 hour for each of the 3 units). "
NA,"Overall lasts 5 hours.   5 class periods, each an hour long. "
NA,Not specified
NA,"Information not provided. Possibly the length of a normal lesson, which would mean sessions would be 1 hour long."
"['Page 12:\n[¬s]"" thirty minutes[¬e]""']",NA
NA,Not specified
NA,Not specified
NA,Information is not provided. 
NA,Not specified.
NA,Not specified.
NA,Not enough information. 
"['Page 3:\n[¬s]""10- to 15-minute sessions[¬e]""']",NA
"['Page 140:\n[¬s]""four sessions of 80 minutes""\n""one session of )I0 minutes for students who needed more time[¬e]""']",NA
"['Page 71:\n[¬s]"" 10.minutes or less per day per behavior[¬e]""']",NA
NA,As above.
NA,As above.
NA,"Not specified, assumed it was the typical class period."
"['Page 2:\n[¬s]"" 1 minute[¬e]""']",NA
"['Page 2:\n[¬s]"" 1 minute[¬e]""']",NA
"['Page 3:\n[¬s]""initial testing,""\n""The time limit was 13 minutes,""\n""Two days after the first test, the second test was administered. ""\n"" The time limit was 17 minutes,[¬e]""']",NA
"['Page 3:\n[¬s]"" The time limit was 17 minutes,[¬e]""']",I was not sure here - if the intervention is classed as the the testing following exposue to feedback then the answer is 17 minutes. If the first test is considered part of the intervention (13 minutes) then the answer is an average of 15 mins.
NA,"Not applicable, as was an ongoing intervention and inquiry into teacher practice. "
NA,4 minutes were alloted for each student to complete their multiplication drill on the microcomputer programme
NA,"Pupils were given 10 minutes in total to complete Task A and B. Some time was given at the beginning of each session to read the material under examination. Session 3 involved completing an attitude survey after completing both tasks.   Therefore, each intervention session lasted approximately 20-30 minutes. "
NA,No information provided
"['Page 4:\n[¬s]""uate. After 10 rain, the circles and uses tasks were collected and the interest and attribution ques- tionnaires dist[¬e]""']",10 min
NA,Not stated 
NA,Not stated 
"['Page 9:\n[¬s]""took place during a single, 45-minute class period;[¬e]""']",NA
"['Page 12:\n[¬s]"" 45-minute[¬e]""']",NA
NA,Not specified.
