n_cont_ht,n_cont_info,Control_Group_Pre-test_Mean_HT,Control_Group_Pre-test_Mean_comments,Control_Group_Pre-test_SD_HT,Control_Group_Pre-test_SD_comments,Control_Group_Post-test_Mean_HT,Control_Group_Post-test_Mean_comments,Control_Group_Post-test_SD_HT,Control_Group_Post-test_SD_comments,Control_Group_Gain_Score_Mean_HT,Control_Group_Gain_Score_Mean_comments,Control_Group_Gain_Score_SD_HT,Control_Group_Gain_Score_SD_comments,Control_Group_Other_Info_HT,Control_Group_Other_Info_comments,Follow_Up_Data_Reported,Follow_Up_Data_Reported_YES,Follow_Up_Data_Reported_NO,Follow_Up_Data_Reported_HT,Follow_Up_Data_Reported_comments
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""50 children[¬e]""']",50,"['Page 9:\n[¬s]""33.18[¬e]""']",33.18,"['Page 9:\n[¬s]""9.00[¬e]""']",9.00,"['Page 9:\n[¬s]""66.90[¬e]""']",66.90,"['Page 9:\n[¬s]""15.40[¬e]""']",15.40,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,65.3,NA,13.6,NA,49.1,NA,18.3,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 17:\n[¬s]""N = 23[¬e]""']",23,"['Page 17:\n[¬s]""30.91[¬e]""']",30.91,"['Page 17:\n[¬s]""7.43[¬e]""']",7.43,"['Page 17:\n[¬s]""31.70[¬e]""']",31.70,"['Page 17:\n[¬s]""7.88[¬e]""']",7.88,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 29:\n[¬s]"" 40""\n"" 54[¬e]""']",94,"['Page 29:\n[¬s]""18.25""\n""25.46""\n""17 .33""\n""52.66""\n""58.41""\n""53°13[¬e]""']",40.124,"['Page 29:\n[¬s]""9.77""\n""12.51""\n""9.91""\n""21.34""\n""26.91""\n""24-52[¬e]""']",25.989,"['Page 31:\n[¬s]""35-41""\n""46.15""\n""36.53""\n""52.66""\n""68.58""\n""55.63[¬e]""']",50.463,"['Page 31:\n[¬s]""18.73""\n""21.11""\n""16. 76""\n""19.12""\n""23.42""\n""25.24[¬e]""']",23.565,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 8:\n[¬s]""72 participants[¬e]""']",36,NA,NA,NA,NA,"['Page 10:\n[¬s]""42.86[¬e]""']",42.86,"['Page 10:\n[¬s]""14.14[¬e]""']",14.14,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 3:\n[¬s]""77[¬e]""']",77,"['Page 8:\n[¬s]""70.34[¬e]""']",70.34,"['Page 8:\n[¬s]""21.92[¬e]""']",21.92,"['Page 8:\n[¬s]""69.45[¬e]""']",69.45,"['Page 8:\n[¬s]""23.22[¬e]""']",23.22,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
