out_eval_raw,out_eval_ht,out_eval_info,eef_eval_raw
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['An organization commissioned independently to evaluate'],"['Page 3:\n[¬s]""IES evaluation reports present objective information on the conditions of implementation and impacts of the programs being evaluated. IES evaluation reports do not include conclusions or recommendations or views with regard to actions policymakers or practitioners should take in light of the findings in the report.[¬e]""']","The Institute of Education Sciences (IES) was commissioned to conduct the evaluation report, independent of Education Northwest. As the IES do not provide recommendations or conclusions in their reports, Education Northwest was responsible for the concluding sections of the report. Thus, they were partially responsible for the evaluation of the intervention. ",No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['An organization commissioned independently to evaluate'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['Unclear/not stated'],NA,NA,No
['Unclear/not stated'],NA,NA,No
['Unclear/not stated'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],"['Page 8:\n[¬s]"" investigators and a trained doctoral student con\xad ducted the interviews with students individually.[¬e]""']",NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['Unclear/not stated'],NA,NA,No
['Unclear/not stated'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
"['Is this an EEF evaluation?', 'An organization commissioned independently to evaluate']",NA,NA,Yes
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
