attri_raw,attri_ht,attri_info,attri_treat_ht,attri_treat_info,attri_perc_ht,attri_perc_info
['No'],NA,NA,NA,0%,NA,0%
['No'],NA,NA,NA,0,NA,0%
['No'],NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA,Not Reported
['No'],NA,NA,NA,NA,NA,NA
['Yes'],"['Page 7:\n[¬s]""92 subjects was selected""\n""89 subjects""\n""completed the study\n(three subjects were absent for the posttest)[¬e]""']",NA,NA,0,"['Page 7:\n[¬s]""89 subjects""\n""completed the study\n(three subjects were absent for the posttest)""\n""92 subjects was selected[¬e]""']",3.260%
['No'],NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,0,NA,0%
['No'],NA,NA,NA,0,NA,0%
['No'],NA,Not Reported ,NA,0.00%,NA,0.00%
['No'],NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,0,NA,0%
['No'],NA,NA,NA,0,NA,0%
['Yes'],NA,"Due to approximated sample numbers, treatment group attrition is based on the assumption of equal distribution. Total attrition is  based on whole sample provided in the study.",NA,8.333,"['Page 3:\n[¬s]""Subjects in Experiment 2 were 72 EMR adolescents[¬e]""', 'Page 4:\n[¬s]""66df[¬e]""']",8.333%
['Yes'],"['Page 66:\n[¬s]""Of the 91 study participants, Metropolitan test scores were missing for only nine students. Tiro other students missed some portion of the learning and/or testing. I\'hus, complete data on all measures were available for 80 stu\xad dents.[¬e]""', 'Page 76:\n[¬s]""ExDerimental""\n""11)""\n""14)""\n""14)""\n""12)[¬e]""']","Only whole sample given, 91 to 80 using text in study, 91 to 76 in sample numbers given in results table, latter has been used for calculations",NA,0,"['Page 66:\n[¬s]""Of the 91 study participants, Metropolitan test scores were missing for only nine students.""\n""complete data on all measures were available for 80 stu\xad\ndents[¬e]""']",16.483%
['Unclear (please add notes)'],NA,"Although attrition is not reported, it does not seem to be an issue as the analysis includes n = 23 for the experimental group and n=23 for the control group (original asignment was n=24 , n=24 for each of the groups respectively).","['Page 52:\n[¬s]""24[¬e]""', 'Page 53:\n[¬s]""23[¬e]""']",4%,"['Page 52:\n[¬s]""24""\n""Twenty- four[¬e]""', 'Page 53:\n[¬s]""23""\n""23[¬e]""']",4%
['No'],NA,NA,NA,0,NA,0%
['No'],NA,NA,NA,0,NA,0%
['No'],NA,NA,NA,0,NA,0%
['No'],NA,NA,NA,0%,NA,0%
