sample_analysed_ht,sample_analysed_info
"['Page 21:\n[¬s]""The experimental group had 22 boys and 22 girls, all of European-American descent. The control group had 17 girls and 20 boys, also all of European-American descent.[¬e]""']",Overall sample included 81 children. 
"['Page 4:\n[¬s]""we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools.[¬e]""']","50 in intervention, 50 in the control group. no information for omissions etc."
NA,Experimental Focal (n = 112) Experimental NonFocal (n = 125) Control Focal (n = 63) Control NonFocal (n = 64)
"['Page 54:\n[¬s]"" 26, 27, and 29 students who had completed the entire sequence.[¬e]""']","Overall, 82 students in experimental study."
"['Page 3:\n[¬s]""116 volunteer participants.[¬e]""', 'Page 6:\n[¬s]""Comparison Male 23.92 5.22 23 Female 24.73 4.18 23 Total 24.33 4.69 46 Treatment Male 27.25 4.77 29 Female 29.32 4.82 41 Total 28.46 4.87 70 Total Male 25.78 5.20 52 Female 27.67 5.07 64 Total 26.82 5.19 116[¬e]""']",NA
"['Page 7:\n[¬s]""92 subjects[¬e]""']",NA
"['Page 4:\n[¬s]""Six classrooms of fifth graders""\n"" Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.""\n""There were 67 students in the integration group and 65 students in the observation group.[¬e]""']",NA
NA,"For the final sample analysed: Grade 3 Experimental = 40, Grade 3 Control = 40, Grade 3 overall = 80. Grade 5 Exp = 56, Grade 5 Con = 54, Grade 5 Overall = 110. Both Grades Exp = 96, Both Grades Con = 94, Both Grades Overall = 190. From Table V on pg73."
"['Page 6:\n[¬s]""72[¬e]""']","72 participants, it is assumed that the groups were split evenly (i.e. 36 participants in experimental and 36 in control)"
"['Page 3:\n[¬s]""156 students[¬e]""']",Experimental = 79 Control = 77
"['Page 1:\n[¬s]""Fifty-two children[¬e]""']","Total (n=52) Experimental group (n=27) Control group (n=25)  Stated in Table 1, pg452"
"['Page 56:\n[¬s]"" A total of 288 cases were analyzed: sixteen students per class (eight boys and eight girls), three classes per teacher, and six teachers were included (16 x 3 x 6 = 288). Of these, 144 each were boys and girls; there were 192 seventh graders and 96 eighth graders in the final analysis.[¬e]""']",NA
NA,Total sample: 273  Intervention (154) and Control (119) 
"['Page 2:\n[¬s]""The sample consisted of 72third-gra""\n""le. Random assignment was made to each of three testing conditions: standard, elaborated feedback, and verbal[¬e]""']","It is not stated how many children is in each group, but if assumed groups were equal, then there would be 24 children in the control group and 24 children in the elaborated feedback group. "
"['Page 3:\n[¬s]"" 72 EMR adolescents (39 females, 33 males) drawn from the subject pool described in Experi\xad ment 1,[¬e]""']",NA
"['Page 141:\n[¬s]"" In sum most of the data analy- <a s based on twenty-five subjects in the control group, jve in the 65 per cent group, fourteen in each of the 75 j 0 d 85 Per cent groups, and eleven in the 95 per cent group.[¬e]""']","Control group = 25 students Treatment group (groups 2, 3, 4 and 5 combined) = 51 students  In total 76 students were included in the final analyses. "
"['Page 37:\n[¬s]""From among all first, second, and third grade children identified by traditional identification procedures in Part 1, 24 were selected for specific treatment.""\n""A contrast group of 24 children, treated by traditional instructional procedures, was also selected from the larger population of all first, second, and third grade children identified in Part one.[¬e]""']",NA
"['Page 5:\n[¬s]"" Written feedback. Students of GE1 fn = 23), after ""\n"""" No feedback. Students of GC (n = 27), a[¬e]""']",Total = 50
"['Page 5:\n[¬s]""ritten corrective feedback. Oral feedback. Students of GE2 (n = 30),""\n""e,"" No feedback. Students of GC (n = 27), a[¬e]""']",Total = 57
"['Page 3:\n[¬s]""nt level[¬e]""']",NA
"['Page 2:\n[¬s]""14 children""\n"" divided into two groups of seven.[¬e]""']",Total = 14
"['Page 4:\n[¬s]""113 children""\n""divided into two groups of nine""\n""One girl in this group moved from the school in the third week so her scores were not included in either 2 week period.[¬e]""']",Total = 17 
"['Page 2:\n[¬s]"" (N \x97 233).[¬e]""', 'Page 3:\n[¬s]"" 77 received a score of 96; 77 received a score of 53; and 79 had a blank space after ""score"" on the interpretation sheet. On the interpretation sheet,[¬e]""']",NA
"['Page 3:\n[¬s]""77 received a score of 53; and 79 had a blank space after ""score""[¬e]""']","Total = 156, Intervention = 77, Control = 79"
"['Page 6:\n[¬s]""students in EDK (n=117)""\n"" First Grade at-risk students (n=151)[¬e]""']",The overall sample analysed was n=267. The breakdown by EDK and primary grade was as follows:   116 EDK students (attrition of 1 student from initial sample) 151 First-grade primary students
"['Page 141:\n[¬s]""KOR 26""\n""NFB 25[¬e]""']",n=51 Breakdown: 26 KOR and 25 NFB. 
NA,261
"['Page 2:\n[¬s]"" 261 sixth-grade children ""\n""90 in Group 2, and 83 in Group 3[¬e]""']",NA
"['Page 3:\n[¬s]""y for 50 pupils in each cond[¬e]""']","50 in each condition, so 100 for this coding (as only conditions 1 and 4 focussed on)"
"['Page 3:\n[¬s]""iment, data were analyzed only for 50 pupils in each cond[¬e]""']",50 pupils per condition - so 100 for this coding
"['Page 3:\n[¬s]""y for 50 pupils in each cond[¬e]""']",50 per condition - so 100 for this coding. 
NA,"Overall sample analysed, taking attritition rates into consideration, was 140 students. 80 experimental condition and 60 control condition. "
"['Page 13:\n[¬s]"" The analyses are based on 115 eighth- grade students, approximately half in each condition[¬e]""']",NA
"['Page 4:\n[¬s]""433 children[¬e]""']",Not specified how many students were allocated to each group
"['Page 4:\n[¬s]""77 students (including 8 sophomores, 14 juniors, 9 seniors, and 46 graduate students)[¬e]""']","1 = 19 2 = 19 3 = 20 4 =19  See Table 2, Page 5"
"['Page 39:\n[¬s]""All data\nanalysis was performed on a final sample of 100 subjects.[¬e]""']",100
"['Page 7:\n[¬s]""KCR (N ¼ 17)\nMTF (N ¼ 16)\nDF (N ¼ 16)\nQuestions (N ¼ 16)\nText (N ¼ 17)[¬e]""']",82
NA,"The overall sample analysed was 4,357 of participating teachers and students.   196 teachers: 102 treatment, 94 control  4,161 students: 2,230 treatment, 1931 control "
