base_diff_raw,base_diff_ht,base_diff_info
['Yes'],"['Page 21:\n[¬s]""also all of European-American descent[¬e]""', 'Page 22:\n[¬s]""several participants in each class had learning disabilities, with Individual Education Plans in reading.[¬e]""']",NA
['Yes'],"['Page 9:\n[¬s]""TABLE 3 Means, Standard Deviations, and Analysis of Variance Summary Table for Full-Year Participants""\n""Fall""\n""Oral reading fluency[¬e]""']",NA
['Yes'],"['Page 16:\n[¬s]""Table 3. Statistical Tests of Baseline Differences Between Experimental Focal vs. Control Focal\nStudents and Experimental vs. Control Schools\nExperimental Focal\nMean (SD)\nFall Word Attack\nFall Letter-Word\nIdentiﬁcation\nFall Passage\nComprehension\nFall Spelling\nMother’s education\n416.40 (24.00)\n468.95 (21.79)\n12.85 (2.25)\nExperimental Focal\n(%)\nWhite\nMale\n39.29\n60.71\nExperimental\nFall Word Attack\nFall Letter-Word\nIdentiﬁcation\nFall Passage\nComprehension\nFall Spelling\nMother’s education\n424.11 (28.63)\n474.67 (19.85)\n13.13 (2.33)\nExperimental\nSchool (%)\nWhite\nMale\n37.60\n51.50\n419.55 (23.55)\n468.88 (24.26)\n13.16 (2.09)\nControl School (%)\n33.10\n54.30\nt⫽ 1.52, p ⫽ .13\nt⫽ 2.41, p ⫽ .02\nt⫽⫺.09, p ⫽ .93\n\u24392 Test ofProportional\nDifference\n\u24392(1) ⫽ 8.47, p ⫽ .00\n\u24392(1) ⫽ .27, p ⫽ .60\nmathematical properties (e.g., equal interval units) that make it well suited for use in\nthe interpretation of test performance. For each of the WJ-DRB, III, outcome anal-\nyses, beta coefﬁcients, standard error estimates, p values, and effect sizes (␦) are\nTable 4. Unweighted MeanWScores (SD) for Word Attack, Letter-Word Identiﬁcation, Spelling\nofSounds, and Passage Comprehension, and PPVT Standard Scores by the Four Intent-to-Treat\nGroups\nExperimental\nFocal\n(N⫽ 108)\nFall scores:\nWord Attack\nLetter-Word Identiﬁcation\nPassage Comprehension\nSpelling ofSounds\nPPVT\nSpring scores:\nWord Attack\nLetter-Word Identifcation\nPassage Comprehension\nSpelling ofSounds\nPPVT\n435.65 (28.41)\n384.03 (32.98)\n416.40 (24.00)\n468.95 (21.79)\n88.39 (13.99)\n467.26 (20.11)\n425.56 (28.58)\n443.69 (23.62)\n489.74 (9.48)\n91.81 (13.29)\nExperimental\nNonfocal\n(N⫽ 119)\n449.92 (27.28)\n405.26 (36.60)\n431.18 (30.74)\n479.86 (16.34)\n94.59 (13.17)\n474.47 (21.50)\n441.66 (32.87)\n457.54 (24.45)\n492.87 (9.82)\n97.91 (15.04)\nControl Focal\n(N⫽ 59)\n430.44 (30.05)\n376.49 (35.25)\n416.92 (19.75)\n462.58 (26.27)\n86.24 (15.02)\n457.15 (23.34)\n411.39 (32.06)\n432.94 (27.82)\n484.61 (14.26)\n90.57 (14.12)\nControl\nNonfocal\n(N⫽ 64)\n443.42 (26.46)\n392.72 (31.10)\n421.98 (26.15)\n474.69 (20.82)\n96.56 (15.16)\n468.52 (20.18)\n429.58 (31.45)\n447.58 (27.18)\n491.26 (11.78)\n100.18 (16.41)\nSchool Mean (SD)\n443.13 (28.67)\n395.11 (36.42)\nControl School Mean (SD)\n437.20 (28.87)\n384.93 (34.01)\nTest ofMean Difference\nt⫽ 1.85, p ⫽ .07\nt⫽ 2.55, p ⫽ .01\n416.92 (19.75)\n462.58 (26.27)\n12.5 (1.86)\nControl Focal (%)\n17.46\n60.32\nt⫽ .14, p ⫽ .89\nt⫽⫺1.68, p ⫽ .10\nt⫽⫺1.02, p ⫽ .31\n\u24392 Test ofProportional\nDifference\n\u24392(1) ⫽ 9.44, p ⫽ .004\n\u24392(1) ⫽ .003, p ⫽ .96\n435.65 (28.41)\n384.03 (32.98)\nControl Focal Mean (SD)\n430.44 (30.05)\n376.49 (35.25)[¬e]""']",NA
['Yes'],"['Page 76:\n[¬s]""From the scores on the Lorge- Thorndike Intelligence Test we see that the classes are ex\xad tremely similar on both the verbal and non-verbal subtests.[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 17:\n[¬s]""TABLE 1""\n""Pretest[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""Table 1 shows that pretest scores for the experimental and control groups are very similar on all traits.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""TABLE IV :nr:ra:u..IGENCE QUOTIENTS AW IEADDJG LEVEL <F PARTICIPATING SUBJF.CTS IN GRADE 1lU£E .AND GRI\\DE FIVE""\n""Mean I.Q.""\n""lsnge I.Q.""\n""Mean Reading Level""\n""Range leading Level[¬e]""']",NA
['Yes'],"['Page 9:\n[¬s]""In addition, no differences were detected between the two groups with reference to their age t(69) = 1.48, n.s. or the distribution of their sex X2(1, N= 71) = .35, n.s.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""The experimental group and control group had no statistically meaningful difference (p=0.92).""\n""Table 2. Pretest Result of ‘Improvement & Advancement’""\n""Table 3. Pretest Result of ‘Sincerity & Enthusiasm’""\n""The experimental group and control group had no\nstatistically meaningful difference (p=0.67).[¬e]""', 'Page 4:\n[¬s]""The experimental group and control group\nhad no statistically meaningful difference (p=0.07).""\n""Table 4. Pretest Result of ‘Individuality & Wholeness’[¬e]""']",NA
['Yes'],"['Page 1:\n[¬s]"" A statistical analysis of the available demographic aspects between these two groups revealed significant equivalency. The majority of the subjects were Caucasian. Other confidential data such as IQ and socioeconomic status were not accessible to the researchers in the present study.""\n"" [¬e]""', 'Page 2:\n[¬s]""TABLE 1 Sex, Chronological Age, Grade, Reading Level, and Type of Special Education Program off Subjects[¬e]""']",NA
['Yes'],"['Page 45:\n[¬s]""analysis of covariance procedures were used to statistically equate the classroom groups on initial writing perfor\xad mance and initial attitude toward writing.""\n""Pretest measures were used only as covariates;[¬e]""']",NA
['Yes'],"['Page 44:\n[¬s]""Figure 3. Breakdown of the Sample by School, Grade, Class Size, and Teacher Sex[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]""ization. To confirm the equality of the groups, scores on the Cattell Culture-Fair Intelligence test were compared and found not to be significantly different (F2,69 = 0.2, NS[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""One-way analyses of variance on CA, IQ, MA, and number correct on the screening test, showed no significant differences among training[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 37:\n[¬s]""An attempt was made to select contrast group children on the basis of similarity on the same beginning reading behaviors as those children given specific treatment.[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""In order to determine which statistical analysis (para metric or nonparametric) had to be applied on the con trol variables and hypotheses, we used a chi-square test.""\n"" Our results for musical aptitude were p = 0.9, and for previous academic success, first secondary level ?general, p = 0.5; first secondary level?music, p = 0.3; second secondary level-general, p = 0.6; and second secondary level?music, p = 0.4. Because data related to the ability to learn was not distributed according to a nor mal curve, we made a Kruskall-Wallis analysis of vari ance (p = 0.7). The results confirmed that all the groups were statistically different in regard to the three control variables.[¬e]""', 'Page 6:\n[¬s]""Table 1.?Results in Mean Percentages for Control Variables[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""In order to determine which statistical analysis (para metric or nonparametric) had to be applied on the con trol variables and hypotheses, we used a chi-square test. With data related to musical aptitude and previous aca demic success being distributed according to a normal curve, we performed an analysis of variance (ANOV""\n"" Our results for musical aptitude were p = 0.9, and for previous academic success, first secondary level ?general, p = 0.5; first secondary level?music, p = 0.3; second secondary level-general, p = 0.6; and second secondary level?music, p = 0.4. Because data related to the ability to learn was not distributed according to a nor mal curve, we made a Kruskall-Wallis analysis of vari ance (p = 0.7). The results confirmed that all the groups were statistically different in regard to the three control variable[¬e]""', 'Page 6:\n[¬s]""Table 1.?Results in Mean Percentages for Control Variables[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""Scores from the preinstructional writing samples were compared across groups using a one-way ANOVA. The results of this analysis as reported in Table 2 indicated statistically significant differences among groups prior to instruction, F = 3.35, p < .02. An objective test of lan- guage skills also showed differences among groups that approached statistical significance, F = 2.44, p < .07 (Group means: RI/PP = 38.17; PP = 35.87; RI =[¬e]""', 'Page 6:\n[¬s]""34.28; C = 34.04). T[¬e]""']",NA
['No/Unclear'],"['Page 2:\n[¬s]"" There were 14 children in the class, and all were reading 1.5 to 2,5 years below grade level. The school grouped the children homogeneously for read\xad ing.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""five children in the class were more capable readers, and they decided with the teacher to set aim at 100. Three of these children were in the grou p that recorded raw scores first, and two were in the group that charted first.[¬e]""', 'Page 5:\n[¬s]""The children in the second study were more capable readers than the population of the first study.""\n""Since these two students were not in the same groups of the counterbalanced design, they[¬e]""', 'Page 6:\n[¬s]""should have corrected for each other.[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
