int_cost_raw,int_cost_ht,int_cost_info
['No'],NA,NA
['No'],"['Page 13:\n[¬s]""Support for this\nresearch was provided in part by Grant No. H238X00001 from the U.S. Department of Education,[¬e]""']",NA
['Yes (Please add details)'],NA,$1300 per classroom for technology. no further costs reported
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes (Please add details)'],NA,"the 72 students were reimbursed 8 euros for their participation, no further costs were reported."
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes (Please add details)'],"['Page 33:\n[¬s]""Teachers, who were not under contract to their districts during the summer, were compensated at the rate of $150 per day for their attendance at the three-day summer[¬e]""', 'Page 34:\n[¬s]""training session. Districts were reimbursed for the cost of substitute teachers provided in order to release participating teachers for three one-day training sessions during the school year. Principals, literacy specialists, librarians, and special education teachers who worked with grade 5 students were also invited to attend the professional development sessions. All training materials, trainers, and access to telecommunications support during the year were provided at no cost to participants.""\n""In addition, each district was compensated at the rate of $2,500 per school for personnel time and related costs involved in providing assistance with planning and implementing the professional development and handling extensive data management tasks required to protect student confidentiality[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes (Please add details)'],"['Page 6:\n[¬s]""The direct cost to schools is for the annual licence to use Accelerated Reader for each individual pupil. A minimum subscription rate for 50 pupils is £450, or £9 per pupil. One day teacher’s training cost is included in the subscription licence and the schools also have year-long access to a free hotline telephone service.[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
