int_dur_ht,int_dur_info
"['Page 25:\n[¬s]""During the months of September, October, November and December,[¬e]""']",4 months
NA,Not specified
"['Page 14:\n[¬s]""The\nduration scale reﬂected the total number of weeks a struggling student eligible for\nTRI received TRI instruction and was reported by teachers in their regular meetings\nwith TRI literacy coaches. A rating of 1 indicated no weeks of TRI intervention, 3\nindicated 4 to 9 weeks oftotal TRI intervention, and 5 indicated 19 weeks or more of\ntotal TRI intervention.[¬e]""']","The intervention was implemented over the school year, however, the students participation in the intervention varied from 1-19+ weeks."
"['Page 103:\n[¬s]""The entire study lasted approximately five hours over a one week period.[¬e]""', 'Page 58:\n[¬s]""This same procedure was used in all three groups for the entire three unit sequence.[¬e]""']","Assumed intervention was conducted over 3 days.   Total study was 5 days, 2 of which were the pre and post testing. "
NA,"Is not clearly stated, however Table 1 (pg6) may suggest intervention was run in one day.  "
"['Page 9:\n[¬s]""The Boehm Test of Basic Concepts (BTBC) Form A & B was\neach administered to half of the subjects in the study (Form A,\nN=51; Form B, N=52). This was done to obtain baseline diagnostic\ninformation on subjects\' knowledge of basic concepts.""\n""following the six-week intervention[¬e]""']",6 weeks
"['Page 4:\n[¬s]""between November 1992 and April 1993[¬e]""']",NA
"['Page 12:\n[¬s]""Third grade pupils continued the study for a period of brenty-f ive weeks. Fifth grade pupils participated for a period of eighteen weeks.[¬e]""']",3rd grade pupils = 25 weeks. 5th grade pupils = 18 weeks. 
NA,Not specified
"['Page 3:\n[¬s]""for nine weeks[¬e]""']",NA
NA,"Information is not specifically given. However, seems to be just the one session, conductedover the course of 1 day. "
"['Page 47:\n[¬s]""ten weeks.[¬e]""']",10 weeks.
NA,10 weeks
NA,Not enough information provided.   Could be assumed that testing for each subject was conducted in one day. 
"['Page 2:\n[¬s]""Subjects were seen individually for three, 10- to 15-minute sessions consisting of (a) screening, (b) training followed by immedi\xad ate posttest, and (c) delayed posttest. All available subjects received a fourth session consisting of a follow-up posttest.[¬e]""', 'Page 3:\n[¬s]""Subjects were seen individually for three, 10- to 15-minute sessions consisting of (a) screening, (b) training followed by the im\xad mediate posttest, and (c) delayed posttest.[¬e]""']",Interventions for both experiments were completed in one day for each subject. 
"['Page 140:\n[¬s]""The study was carried out over the space of five days: four sessions of 80 minutes for all students and one session of )I0 minutes for students who needed more time[¬e]""']",NA
"['Page 71:\n[¬s]""28 days[¬e]""']",NA
NA,Not stated. The intervention was the provision and effects (as tested) of written feedback after regular teaching (which was also not detailed) had taken place. 
NA,Not stated. The intervention was the provision and effects (as tested) of oral feedback after regular teaching (which was also not detailed) had taken place. 
