id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,prev_start_age,new_start_age,addit_time_f_pt,addit_time_struct,early_child_addit_time,early_child_addit_time_info,setting_type
72102311,Abbott-Shim (2003),2003,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3777,0.1714,['Post-test unadjusted (select one from this group)'],ESA+1_PPVT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3777,0.1714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,3,NA,['Other educational setting (please specify)'],['4'],NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,not specified,360,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Full time'],['Different activities'],['One full academic year (12 months)'],NA,['Other (please specify)']
71142124,Aboud (2006),2006,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1949,0.1003,['Post-test unadjusted (select one from this group)'],ESA+1_WPPSI-III Vocabulary,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1949,0.1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,NA,NA,['Nursery school/pre-school'],"['4', '5', '6']",NA,NA,['Bangladesh'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Unclear/ not specified'],"['Class teachers', 'Lay persons/volunteers']",not specified,6,180,['EY_Toolkit: Earlier starting age'],['6'],['5'],['Part time'],['Same activities'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
72102318,Ametjian (1965),1965,['Dissertation or thesis'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.81,0.296,['Post-test adjusted for baseline attainment'],ESA+0_SBMAS,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],19,5,360,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Full time'],['Not specified/ Unclear'],['Six months or half an academic year'],NA,['Nursery school or class (state funded)']
72102319,Anderson (1994),1994,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.7274,0.2672,['Post-test unadjusted (select one from this group)'],ESA+0_TOBE,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],not specified,not specified,not specified.,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
72102322,Barnett (1987) 1_1,1987,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.6382,0.058,['Post-test adjusted for baseline attainment'],ESA+2_CSAB,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,['Nursery school/pre-school'],['7'],TRUE,100.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,150,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Part time'],['Different activities'],['One full academic year (12 months)'],NA,['Other (please specify)']
74577991,Barnett (1987) 1_2,1987,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.2357,0.1068,['Post-test unadjusted (select one from this group)'],ESA+1_CSAB,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,NA,14,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,150,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Other (please specify)']
77945719,Berlinski (2009),2009,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3447,0.0039,['Post-test unadjusted (select one from this group)'],ESA+3_National_Spanish_Test,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3447,0.0039,NA,NA,NA,['Mathematics primary outcome'],0.3959,0.0039,NA,NA,NA,NA,NA,NA,NA,5785,NA,['Nursery school/pre-school'],"['3', '4', '5']",NA,NA,['Argentina'],['Retrospective QED  '],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,210,['EY_Toolkit: Earlier starting age'],['6'],['5'],['Part time'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
71142092,Campbell (1990),1990,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.4763,0.2191,['Post-test unadjusted (select one from this group)'],ESA+1_CAK test,With business as usual,['Sample: Low achievers'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,['Nursery school/pre-school'],"['3', '4', '5']",NA,NA,['USA'],['Individual RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],['Class teachers'],114,5,360,['EY_Toolkit: Earlier starting age'],['4'],['3'],['Not specified/ Unclear'],['Not specified/ Unclear'],['Six months or half an academic year'],NA,['Nursery school or class (state funded)']
72102328,Capobianco (1966),1966,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4947,0.223,['Post-test unadjusted (select one from this group)'],ESA+0_Metropolitan Readiness Test (Reading_combined),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4947,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,3,5,['Nursery school/pre-school'],['5'],NA,NA,['USA'],['Interrupted time series QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],16,5,150,['EY_Toolkit: Earlier starting age'],['6'],['5'],['Part time'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Reception class (state funded)']
77945722,Cattan (2014),2014,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.281,0.06,['Post-test unadjusted (select one from this group)'],ESA+11_GCSE,With business as usual,['Sample: All'],Curriculum  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],0.63,0.061,NA,NA,NA,NA,NA,NA,3000,NA,NA,['Nursery school/pre-school'],['3'],NA,NA,['England'],['Retrospective QED  '],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],76,Not stated.,Not stated.,NA,['5'],['3'],['Not specified/ Unclear'],['Not specified/ Unclear'],['Two full academic years (24 months)'],NA,['Unclear/ not specified']
72102331,Cawley (1970),1970,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1572,0.1491,['Post-test unadjusted (select one from this group)'],ESA+1_Test_of_letter_recognition (PHS+SHS vs NHS),With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1572,0.1491,NA,NA,NA,NA,NA,NA,213,NA,NA,['Nursery school/pre-school'],"['6', '7']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],38,5,360,['EY_Toolkit: Earlier starting age'],"['4', '5']","['2', '3']",['Not specified/ Unclear'],['Not specified/ Unclear'],"['Other (Please add a numeric value only, in whole number of months)']",9,['Nursery school or class (state funded)']
