StudyID,Strand,CurriculumSubjectsTested
39253281,Summer schools,['Decoding/phonics']
37092576,Feedback,['Writing']
37671598,Teaching assistants,['Mathematics']
40117120,Extending school time,"['Mathematics', 'Reading other']"
43090135,Extending school time,['Mathematics']
37671620,Teaching assistants,['Mathematics']
40117121,Teaching assistants,"['Mathematics', 'Reading comprehension', 'Reading other']"
37093542,Peer Tutoring,['Reading other']
37091026,Feedback,['Mathematics']
39253200,NA,"['Mathematics', 'Reading other']"
39253314,Summer schools,"['Mathematics', 'Reading comprehension']"
37093543,Peer Tutoring,['Mathematics']
39253203,Summer schools,"['Mathematics', 'Reading other']"
43090138,Summer schools,"['Mathematics', 'Other curriculum test', 'Decoding/phonics', 'Reading other']"
40117246,NA,NA
40117123,NA,NA
37093616,Peer Tutoring,['Languages']
37671548,Teaching assistants,['Writing']
43090143,NA,['Reading other']
37091027,NA,NA
37093544,Peer Tutoring,['Reading other']
37671600,Teaching assistants,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
40117126,NA,"['Mathematics', 'Reading other']"
39253282,Summer schools,['Decoding/phonics']
39253283,Summer schools,"['Mathematics', 'Reading other']"
40117194,NA,"['Mathematics', 'Science', 'Social studies', 'Reading other']"
37133886,Peer Tutoring,['Mathematics']
37092761,Feedback,['Reading comprehension']
40294902,Feedback,['Reading comprehension']
38878251,Small Group Tuition,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']"
39253253,Summer schools,"['Writing', 'Mathematics', 'Reading other']"
37061114,Feedback,['Reading comprehension']
40117128,Extending school time,"['Writing', 'Mathematics', 'Reading other']"
37093353,Peer Tutoring,['Reading comprehension']
40117129,NA,"['Mathematics', 'Reading other']"
37093472,Peer Tutoring,['Mathematics']
37093471,Peer Tutoring,['Mathematics']
38878265,Small Group Tuition,['Speaking and listening/Oral language']
40117274,Small Group Tuition,['Mathematics']
37093506,Peer Tutoring,"['Reading comprehension', 'Reading other']"
37092577,Feedback,['Writing']
37133895,Peer Tutoring,['Mathematics']
39253205,NA,['Mathematics']
37092578,Feedback,['Reading comprehension']
37671552,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
37671553,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
37091029,Feedback,['Reading comprehension']
37092579,Feedback,['Spelling']
37092580,Feedback,['Spelling']
37092581,Feedback,['Spelling']
40294904,Feedback,['Mathematics']
37093553,Peer Tutoring,['Mathematics']
37093549,Peer Tutoring,['Reading other']
37093550,Peer Tutoring,['Mathematics']
37093524,Peer Tutoring,['Mathematics']
37133902,Peer Tutoring,['Mathematics']
37093618,Peer Tutoring,"['Reading other', 'Reading comprehension']"
37093551,Peer Tutoring,"['Reading comprehension', 'Literacy (first language)']"
37093523,Peer Tutoring,['Mathematics']
37116212,Peer Tutoring,['Mathematics']
40117132,NA,"['Mathematics', 'Reading comprehension']"
37133906,Peer Tutoring,"['Reading comprehension', 'Speaking and listening/Oral language']"
37093555,Peer Tutoring,"['Reading other', 'Reading comprehension']"
40117276,Extending school time,"['Writing', 'Reading comprehension', 'Speaking and listening/Oral language', 'Reading other']"
37061127,Feedback,['Languages']
37671623,Teaching assistants,['Decoding/phonics']
37093477,Peer Tutoring,"['Mathematics', 'Other curriculum test']"
37093478,Peer Tutoring,['Mathematics']
37092650,Feedback,"['Science', 'Reading comprehension']"
37133911,Peer Tutoring,['Mathematics']
37671603,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']"
38296617,Teaching assistants,"['Reading comprehension', 'Reading other']"
38296615,Feedback,['Reading comprehension']
38296616,Feedback,['Reading comprehension']
40117250,Extending school time,NA
38878252,Small Group Tuition,NA
37093559,Peer Tutoring,['Reading comprehension']
37671634,Teaching assistants,"['Mathematics', 'Reading comprehension']"
37671557,Teaching assistants,"['Decoding/phonics', 'Speaking and listening/Oral language']"
37671558,One to one tuition,"['Decoding/phonics', 'Reading other']"
37093560,Peer Tutoring,['Other curriculum test']
37133917,Peer Tutoring,"['Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
40117251,Extending school time,['Science']
37092582,Parental engagement,['Writing']
37133918,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
37671515,Teaching assistants,"['Reading comprehension', 'Reading other']"
38878253,Small Group Tuition,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
37671559,Teaching assistants,['Reading comprehension']
40117134,Teaching assistants,"['Mathematics', 'Reading comprehension']"
37671520,Teaching assistants,"['Reading comprehension', 'Reading other']"
37092655,Feedback,"['Mathematics', 'Science', 'Social studies']"
37133919,Peer Tutoring,['Mathematics']
37116213,Peer Tutoring,['Mathematics']
37091033,Feedback,"['Mathematics', 'Decoding/phonics', 'Reading comprehension']"
39253318,NA,"['Writing', 'Mathematics', 'Science', 'Social studies', 'Reading comprehension']"
40117135,Feedback,"['Mathematics', 'Reading comprehension']"
37671562,Teaching assistants,"['Reading comprehension', 'Decoding/phonics', 'Speaking and listening/Oral language']"
40117175,NA,['Reading other']
39253285,Summer schools,"['Writing', 'Mathematics', 'Reading comprehension']"
40117136,NA,"['Mathematics', 'Reading other']"
37093480,Peer Tutoring,['Mathematics']
37133921,Peer Tutoring,"['Reading comprehension', 'Reading other']"
39253320,Summer schools,"['Mathematics', 'Reading comprehension', 'Reading other']"
40117252,Extending school time,"['Mathematics', 'Reading other']"
40117253,Extending school time,['Mathematics']
40398941,Teaching assistants,['Mathematics']
37092584,Feedback,['Writing']
37671521,Teaching assistants,['Mathematics']
39253321,Summer schools,"['Reading comprehension', 'Reading other']"
37092768,Feedback,['Science']
37671626,Teaching assistants,['Decoding/phonics']
37671605,Teaching assistants,['Decoding/phonics']
37061117,NA,['Social studies']
37133923,Peer Tutoring,['Mathematics']
37116224,Peer Tutoring,['Reading comprehension']
39253390,Summer schools,"['Mathematics', 'Reading other']"
37061115,Feedback,"['Mathematics', 'Science']"
37093509,Peer Tutoring,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']"
37671565,Teaching assistants,"['Mathematics', 'Spelling', 'Reading other']"
40294914,Peer Tutoring,NA
40117256,NA,"['Mathematics', 'Science', 'Social studies']"
37092585,Feedback,['Writing']
40117137,NA,"['Mathematics', 'Science', 'Social studies', 'Spelling', 'Reading other']"
37671627,Teaching assistants,"['Spelling', 'Reading comprehension', 'Reading other', 'Writing', 'Decoding/phonics', 'Speaking and listening/Oral language']"
37093568,Peer Tutoring,['Science']
37116222,Peer Tutoring,"['Mathematics', 'Spelling']"
40117257,Extending school time,"['Mathematics', 'Science', 'Other curriculum test']"
37091034,Feedback,['Reading other']
37092606,Feedback,['Science']
38296632,Small Group Tuition,"['Reading comprehension', 'Decoding/phonics', 'Spelling', 'Reading other']"
40117138,NA,"['Mathematics', 'Reading comprehension', 'Reading other']"
40117141,Small Group Tuition,"['Mathematics', 'Reading other']"
39253322,NA,"['Mathematics', 'Reading comprehension']"
37092607,Feedback,['Mathematics']
40294919,NA,['Reading other']
37092586,Feedback,['Writing']
40294920,Feedback,['Mathematics']
40117142,NA,"['Mathematics', 'Reading comprehension', 'Reading other']"
37092670,Feedback,['Speaking and listening/Oral language']
37093356,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']"
40117259,Extending school time,NA
40117258,Extending school time,"['Mathematics', 'Science', 'Social studies', 'Languages']"
40117206,Extending school time,"['Other curriculum test', 'Arts']"
39253323,NA,"['Mathematics', 'Reading comprehension']"
40117260,Extending school time,"['Mathematics', 'Decoding/phonics', 'Reading other', 'Speaking and listening/Oral language']"
37671606,Teaching assistants,['Speaking and listening/Oral language']
40117283,NA,"['Reading other', 'Mathematics']"
38878267,NA,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
40117284,NA,"['Mathematics', 'Reading other']"
39253220,Summer schools,"['Mathematics', 'Reading comprehension', 'Reading other']"
39253291,Summer schools,"['Mathematics', 'Reading other']"
40117261,Summer schools,"['Writing', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
39253292,Summer schools,"['Speaking and listening/Oral language', 'Reading other']"
38296633,Peer Tutoring,['Reading comprehension']
38296634,Peer Tutoring,['Mathematics']
40294923,NA,['Speaking and listening/Oral language']
39253327,NA,"['Decoding/phonics', 'Reading comprehension']"
43090171,Summer schools,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']"
37092587,Feedback,"['Reading other', 'Writing']"
37092588,Feedback,"['Writing', 'Reading other']"
37671566,NA,"['Decoding/phonics', 'Reading other', 'Speaking and listening/Oral language']"
39253391,Summer schools,"['Mathematics', 'Reading comprehension']"
37093622,Peer Tutoring,['Reading comprehension']
37093577,Peer Tutoring,['Reading comprehension']
37116235,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']"
46325689,NA,NA
37116234,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']"
38878258,Small Group Tuition,"['Mathematics', 'Decoding/phonics', 'Reading comprehension', 'Reading other']"
40294924,Small Group Tuition,"['Mathematics', 'Decoding/phonics', 'Reading comprehension', 'Reading other']"
39253392,Summer schools,"['Mathematics', 'Reading other']"
40117146,Extending school time,"['Mathematics', 'Reading comprehension']"
38296644,Summer schools,['Reading comprehension']
37092684,Feedback,NA
37093360,Peer Tutoring,"['Reading other', 'Reading comprehension']"
40117357,NA,"['Mathematics', 'Reading other']"
37671568,Teaching assistants,"['Reading comprehension', 'Reading other']"
39253295,Summer schools,['Reading comprehension']
40117358,NA,"['Decoding/phonics', 'Reading other']"
39253296,Summer schools,"['Reading comprehension', 'Reading other']"
37133945,Peer Tutoring,['Mathematics']
38296647,Extending school time,"['Reading comprehension', 'Mathematics']"
37671570,Teaching assistants,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
40294926,Feedback,['Reading other']
37133947,Peer Tutoring,['Science']
37093581,Peer Tutoring,['Mathematics']
37093579,Peer Tutoring,['Mathematics']
37092589,Feedback,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']"
37671572,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']"
37091036,Feedback,"['Reading comprehension', 'Reading other']"
40117150,Extending school time,"['Mathematics', 'Languages', 'Reading comprehension', 'Reading other']"
40117264,Extending school time,NA
40117289,Extending school time,['Reading comprehension']
43090186,NA,"['Reading comprehension', 'Reading other']"
37061123,Feedback,['Spelling']
40294931,Feedback,NA
40294930,Peer Tutoring,"['Reading comprehension', 'Reading other']"
40117359,NA,"['Decoding/phonics', 'Spelling']"
40117214,Extending school time,['Mathematics']
37671607,Teaching assistants,['Mathematics']
37116214,Peer Tutoring,['Science']
37092701,Feedback,['Other curriculum test']
37671575,Teaching assistants,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']"
40117215,NA,['Other curriculum test']
37133954,Peer Tutoring,['Mathematics']
38296657,Teaching assistants,['Mathematics']
37093585,Peer Tutoring,"['Reading comprehension', 'Reading other']"
37092590,Feedback,['Writing']
37092703,Feedback,['Mathematics']
37092704,Feedback,['Mathematics']
39253393,Summer schools,"['Mathematics', 'Reading comprehension', 'Writing']"
40294937,Peer Tutoring,"['Reading comprehension', 'Reading other']"
40117154,Extending school time,"['Mathematics', 'Reading comprehension']"
37133956,Peer Tutoring,['Writing']
37092591,Peer Tutoring,['Writing']
40294939,Peer Tutoring,['Writing']
37133957,Peer Tutoring,['Mathematics']
39253299,Summer schools,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
38296659,Teaching assistants,['Reading comprehension']
37061141,Feedback,['Reading comprehension']
37061139,Feedback,['Reading comprehension']
40294942,Feedback,['Reading comprehension']
37092708,Feedback,['Decoding/phonics']
40294947,Small Group Tuition,NA
37093590,Peer Tutoring,['Mathematics']
37092592,Feedback,['Writing']
38878269,Small Group Tuition,['Reading comprehension']
40117157,Extending school time,"['Mathematics', 'Reading comprehension', 'Reading other']"
37092593,Feedback,['Writing']
40117291,NA,"['Mathematics', 'Reading comprehension']"
38878270,Small Group Tuition,['Reading comprehension']
38878271,Small Group Tuition,"['Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']"
37671611,Teaching assistants,"['Decoding/phonics', 'Reading other', 'Writing', 'Reading comprehension']"
39253229,NA,NA
39253334,Summer schools,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
37092715,Feedback,['Speaking and listening/Oral language']
40117178,NA,"['Mathematics', 'Reading comprehension']"
39253335,NA,"['Writing', 'Mathematics', 'Science', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']"
37092594,Feedback,['Writing']
37092778,Feedback,['Reading comprehension']
38296661,Feedback,"['Mathematics', 'Reading other']"
39253336,Summer schools,['Mathematics']
40117295,Extending school time,['Mathematics']
40117160,Extending school time,['Mathematics']
37671612,Teaching assistants,['Reading other']
38878272,Small Group Tuition,"['Mathematics', 'Reading other']"
37092595,Feedback,"['Writing', 'Reading comprehension']"
40294951,NA,"['Reading other', 'Speaking and listening/Oral language']"
40398944,Teaching assistants,"['Reading comprehension', 'Decoding/phonics']"
37092719,Feedback,['Science']
38296668,Teaching assistants,"['Mathematics', 'Reading other']"
38296667,Teaching assistants,['Reading other']
37133962,Peer Tutoring,['Science']
39253394,NA,['Reading comprehension']
40117223,Extending school time,['Other curriculum test']
40117180,Extending school time,"['Reading comprehension', 'Science', 'Social studies', 'Spelling']"
37092597,Feedback,['Writing']
37092598,Feedback,['Writing']
43090192,NA,['Writing']
40294954,Peer Tutoring,['Reading comprehension']
40294955,Peer Tutoring,['Reading other']
38296671,Teaching assistants,['Mathematics']
39253304,Summer schools,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']"
37093595,Peer Tutoring,['Mathematics']
38296672,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension']"
40117166,NA,"['Writing', 'Mathematics', 'Science', 'Social studies', 'Reading comprehension']"
43090193,Teaching assistants,"['Reading comprehension', 'Reading other']"
37671584,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']"
37671585,Teaching assistants,"['Speaking and listening/Oral language', 'Spelling', 'Reading other']"
38296673,Teaching assistants,"['Reading comprehension', 'Reading other']"
38296676,Summer schools,"['Writing', 'Mathematics', 'Reading comprehension']"
38296677,Feedback,NA
37133964,Peer Tutoring,['Science']
37093596,Peer Tutoring,['Reading comprehension']
38878122,Small Group Tuition,"['Reading comprehension', 'Speaking and listening/Oral language']"
37093365,Peer Tutoring,['Mathematics']
40117298,NA,"['Mathematics', 'Science', 'Social studies', 'Reading comprehension']"
37133968,Peer Tutoring,['Mathematics']
37092727,Feedback,['Speaking and listening/Oral language']
40117168,Feedback,"['Writing', 'Mathematics', 'Reading comprehension']"
38296682,Feedback,NA
37116236,Peer Tutoring,"['Reading comprehension', 'Reading other']"
40117229,NA,['Other curriculum test']
37093602,Peer Tutoring,['Mathematics']
37116233,Peer Tutoring,['Reading other']
37133971,Peer Tutoring,"['Writing', 'Reading comprehension']"
37093603,Peer Tutoring,"['Writing', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language', 'Decoding/phonics']"
38296685,Small Group Tuition,['Reading comprehension']
37671586,Teaching assistants,"['Writing', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
37093606,Peer Tutoring,['Writing']
37671517,Teaching assistants,"['Decoding/phonics', 'Reading other']"
37092790,Feedback,['Science']
37093367,Peer Tutoring,['Mathematics']
37061134,Feedback,['Mathematics']
40294957,Feedback,['Mathematics']
37093607,Peer Tutoring,['Reading comprehension']
37133974,Peer Tutoring,"['Spelling', 'Reading comprehension']"
45336793,NA,NA
45336794,NA,NA
40294958,Feedback,"['Mathematics', 'Science']"
37133976,Peer Tutoring,"['Mathematics', 'Reading other']"
37061135,Feedback,['Reading comprehension']
37092791,Feedback,"['Mathematics', 'Reading comprehension']"
37092612,Feedback,['Science']
43090197,Peer Tutoring,['Reading comprehension']
43090198,NA,"['Decoding/phonics', 'Reading comprehension']"
37133980,Peer Tutoring,['Other curriculum test']
37133982,Peer Tutoring,['Science']
37116207,Peer Tutoring,"['Mathematics', 'Reading other']"
38296692,NA,"['Writing', 'Spelling', 'Reading comprehension']"
38296693,Small Group Tuition,"['Writing', 'Spelling', 'Reading comprehension']"
38296689,Small Group Tuition,"['Mathematics', 'Reading comprehension']"
38878260,Small Group Tuition,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
38878273,Small Group Tuition,"['Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
40398947,Small Group Tuition,['Writing']
37093368,Peer Tutoring,['Spelling']
40117231,NA,"['Mathematics', 'Other curriculum test', 'Reading comprehension']"
37092613,Feedback,['Mathematics']
39253235,NA,"['Writing', 'Mathematics', 'Decoding/phonics', 'Spelling', 'Languages', 'Reading comprehension', 'Speaking and listening/Oral language']"
37133983,Peer Tutoring,['Science']
37116208,Peer Tutoring,"['Mathematics', 'Science', 'Reading comprehension']"
40117363,NA,['Other curriculum test']
39253306,Summer schools,"['Reading comprehension', 'Reading other']"
40117360,NA,"['Decoding/phonics', 'Writing', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
37671592,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']"
37671636,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading other']"
37671638,NA,"['Reading comprehension', 'Reading other']"
40294961,Small Group Tuition,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
37671637,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']"
43090199,NA,"['Reading comprehension', 'Reading other']"
37671588,Teaching assistants,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
37671589,NA,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']"
37671614,Teaching assistants,"['Languages', 'Decoding/phonics', 'Reading comprehension', 'Reading other']"
37133984,Peer Tutoring,"['Reading comprehension', 'Reading other']"
37116237,Peer Tutoring,"['Reading comprehension', 'Reading other']"
37093609,Peer Tutoring,['Spelling']
40294962,Feedback,['Spelling']
40117232,Extending school time,"['Writing', 'Mathematics', 'Science', 'Social studies', 'Reading comprehension', 'Speaking and listening/Oral language']"
37092614,Feedback,['Science']
37092599,NA,['Spelling']
37092600,Feedback,['Writing']
40117182,NA,NA
43090202,NA,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
39253308,Summer schools,['Reading comprehension']
39253238,NA,"['Writing', 'Reading other']"
37671616,Teaching assistants,"['Mathematics', 'Reading other']"
37092796,Feedback,NA
37133987,Peer Tutoring,['Mathematics']
37093610,NA,['Spelling']
38296697,Feedback,"['Mathematics', 'Reading other']"
37092615,Feedback,"['Mathematics', 'Science']"
39253240,Summer schools,"['Reading comprehension', 'Reading other']"
39253241,Summer schools,"['Mathematics', 'Science', 'Reading comprehension', 'Reading other']"
37092601,Feedback,['Writing']
37092602,Feedback,['Writing']
40294963,Feedback,['Writing']
39253243,NA,NA
40117171,Feedback,"['Reading comprehension', 'Writing', 'Mathematics']"
37671591,Teaching assistants,"['Mathematics', 'Science', 'Social studies', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']"
37092800,Feedback,['Reading comprehension']
37116218,Peer Tutoring,['Mathematics']
37133992,Peer Tutoring,['Writing']
37092616,Feedback,['Science']
37092603,Feedback,['Writing']
39253343,NA,NA
40117237,NA,"['Mathematics', 'Reading comprehension']"
40117361,NA,"['Mathematics', 'Reading comprehension']"
37092801,Feedback,NA
39253395,Summer schools,['Reading other']
39253396,Summer schools,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']"
