id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,intervention_type,commercial_mat_prov,homemade_mat_prov,use_material_instruct_provided,dist_freq_info,increased_toilets_info,toilet_pupil_ratio_info,improved_facilities,wash_component_other_info,wash_component_provided_unclear,no_WASH_component,girl_friendly_comp,girl_friendly_other,calendar_track_cycle,hardware_char_other_info,hardware_char_unclear,hardware_char_na,software_char,software_char_focus,software_char_frequency,intervention_dur_info,intervention_dur_na_info,int_deliv,intervention_deliv_printed_sources_info,intervention_deliv_elec_sources_info,intervention_deliv_other_info,int_recip,intervention_recip_other_info,teach_train_comp_info,cash_transfer_comp,health_outcomes_info,health_outcomes_menst_health_info,health_outcomes_sexual_health_info,health_outcomes_pregnancy_info,health_outcomes_other_info,health_outcomes_repro_tract_inf
59412491,Austrian (2020) 1_1,2020,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259,70,NA,['Primary/elementary school'],"['12', '13']",NA,NA,['Kenya'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['No'],['Other (please specify)'],['Research staff'],78,0.25,NA,NA,['Hardware'],['Underwear'],['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,['No girl-friendly component'],NA,NA,NA,NA,NA,"['Not applicable, hardware intervention only']",['Information not provided/Unclear'],NA,NA,NA,['Not provided/Unclear'],NA,NA,NA,['Information not provided/unclear'],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],"['Menstrual behaviours/health', 'Sexual behaviours/health']","monitoring or menstrual management, i.e. checking whether there are enough pads",tests on reproductive health and attitudes (no sig. difference between the control and pads only group ,NA,NA,NA
54096835,Austrian (2020) 1_2,2020,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.2993,0.0548,NA,Literacy skills,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.2993,0.0548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1256,140,NA,['Primary/elementary school'],"['12', '11', '13']",NA,NA,['Kenya'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Research staff'],NA,NA,NA,NA,['Software'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Not applicable, software intervention only']",['Information not provided/Unclear'],['Understanding'],NA,NA,NA,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['No health outcomes recorded'],NA,NA,NA,NA,NA
59412494,Austrian (2020) 1_3,2020,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1283,70,NA,['Primary/elementary school'],"['12', '13']",NA,NA,['Kenya'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],78,NA,NA ,NA,['Combined Intervention'],"['Absorbents', 'Underwear']",['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,not provided but participants were given 25 sessions from over approximately an 18 month period,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],"['Menstrual behaviours/health', 'Sexual behaviours/health']",interviews regarding menstruation management,NA,NA,NA,NA
54096837,Benshaul-Tolonen (2019) 1_1,2019,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,30,NA,['Primary/elementary school'],"['12', '13']",NA,NA,['Kenya'],['Cluster RCT'],['Student alone (self-administered)'],['No'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],43,NA,NA,NA,['Hardware'],['Absorbents'],['No commercial materials provided'],['Information not provided/Unclear'],one reusable menstrual cup provided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,only provided menstrual cup once and monitored for 10 months,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['No health outcomes recorded'],NA,NA,NA,NA,NA
59412502,Benshaul-Tolonen (2019) 1_2,2019,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,20 ,NA,['Primary/elementary school'],"['12', '13', '10', '11', '14']",NA,NA,['Kenya'],['Cluster RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],52,NA,NA,NA,['Hardware'],NA,['No commercial materials provided'],"['Yes, instructions provided']",monthly,NA,NA,['Provision of soap or disinfectant'],NA,NA,NA,['No girl-friendly component'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Female students'],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],['No health outcomes recorded'],NA,NA,NA,NA,NA
54005537,Dolan (2014) 1_1,2014,['Journal article'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"60 (Pads with education), 25 (education only) and 35 (control) sites",NA,NA,"['5', '6', '7', '8', '9', '10', '11', '12', '13']",NA,NA,['Ghana'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['External teachers'],NA,No information,No info,NA,['Combined Intervention'],['Underwear'],['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Information not provided/Unclear '],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],NA,152,approx 5 months,['Not provided/Unclear'],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['No health outcomes recorded'],NA,NA,NA,NA,NA
59412529,Dolan (2014) 1_2,2014,['Journal article'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['12', '13', '14', '15', '16', '17', '18']",NA,NA,['Ghana'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],20,NA,NA,NA,['Combined Intervention'],"['Underwear', 'Provided but detail lacking/unclear']","['Underwear', 'Provided but detail lacking/unclear']",['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,['Calendar to track cycle'],NA,NA,NA,NA,['Information not provided/Unclear'],['Information not provided/Unclear'],155,NA,['Not provided/Unclear'],NA,NA,NA,['Female students'],NA,['Information not provided/Unclear'],['No cash transfer included'],['Other'],NA,NA,NA,mental health - well being,NA
54096567,Montgomery (2016),2016,['Journal article'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,['Primary/elementary school'],"['10', '11', '12', '13']",NA,NA,['Uganda'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Lay persons/volunteers'],NA,NA,75,NA,['Combined Intervention'],NA,['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Information not provided/Unclear '],NA,NA,['Understanding'],['One-off session'],730,NA,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['Menstrual behaviours/health'],"measured accurate knowledge about girls' own menstruation, measurements of feelings of shame associated with menstruation after the intervention ",NA,NA,NA,NA
54005533,Oster (2009),2009,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome', 'Writing and spelling primary outcome.', 'Mathematics primary outcome', 'Science primary outcome']",-0.17,0.289,['Post-test adjusted for baseline attainment'],School exam resuts,,['Sample: Low achievers'],Combined subjects,NA,"['Toolkit primary outcome', 'Reading primary outcome', 'Writing and spelling primary outcome.', 'Mathematics primary outcome', 'Science primary outcome']",-0.17,0.289,NA,NA,NA,"['Toolkit primary outcome', 'Reading primary outcome', 'Writing and spelling primary outcome.', 'Mathematics primary outcome', 'Science primary outcome']",-0.17,0.289,"['Toolkit primary outcome', 'Reading primary outcome', 'Writing and spelling primary outcome.', 'Mathematics primary outcome', 'Science primary outcome']",-0.17,0.289,NA,NA,NA,198,4,NA,['Secondary/High school'],['14'],TRUE,100.0,['Nepal'],['Individual RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Class teachers'],15 months,monthly,NA,NA,['Hardware'],NA,['No commercial materials provided'],"['Yes, instructions provided']",NA,NA,NA,NA,NA,NA,NA,['No girl-friendly component'],NA,['Calendar to track cycle'],NA,NA,NA,"['Not applicable, hardware intervention only']",NA,NA,450,NA,['Healthcare worker '],NA,NA,NA,"['Female students', 'Mothers']",NA,['No training provided'],"['Yes, cash transfer included']","['Menstrual behaviours/health', 'No health outcomes recorded']",NA,NA,NA,NA,NA
54005536,Oster (2011),2011,['Journal article'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Individual RCT'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Hardware'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
